case,eyelid_thickness_mm,surface,radius_start_mm,radius_end_mm,radius_center_mm,face_count,raw_downward_median_um,local_downward_p10_um,local_downward_median_um,local_downward_p90_um,above_threshold_fraction,threshold_um
eyelid_1p00mm_indent_0p28mm,1.0,outer,0.8999999999999999,1.05,0.975,61,272.9006905868235,260.5523894353934,265.8233807478235,272.5504517185233,1.0,18.49538457047343
eyelid_1p00mm_indent_0p28mm,1.0,outer,1.05,1.2,1.125,74,256.6602665512801,243.37743313571136,249.58295671228,256.0840896143756,1.0,18.49538457047343
eyelid_1p00mm_indent_0p28mm,1.0,outer,1.2,1.3499999999999999,1.275,90,236.24513767222004,220.03898209944728,229.16782783321997,236.8380093988787,1.0,18.49538457047343
eyelid_1p00mm_indent_0p28mm,1.0,outer,1.3499999999999999,1.5,1.4249999999999998,84,212.26075467495002,196.9979846415756,205.18344483594996,212.61894726149762,1.0,18.49538457047343
eyelid_1p00mm_indent_0p28mm,1.0,outer,1.5,1.65,1.575,90,190.7258338635383,177.39806803785464,183.6485240245383,193.44938999445944,1.0,18.49538457047343
eyelid_1p00mm_indent_0p28mm,1.0,outer,1.65,1.7999999999999998,1.7249999999999999,77,176.67897849919984,161.81384650363543,169.6016686601998,172.29392933906206,1.0,18.49538457047343
eyelid_1p00mm_indent_0p28mm,1.0,outer,1.7999999999999998,1.95,1.875,94,159.411249837525,147.17045094913996,152.33393999852495,159.02145173049377,1.0,18.49538457047343
eyelid_1p00mm_indent_0p28mm,1.0,outer,1.95,2.1,2.025,91,146.01853149872343,132.89811367924656,138.9412216597234,143.50076104933007,1.0,18.49538457047343
eyelid_1p00mm_indent_0p28mm,1.0,outer,2.1,2.25,2.175,95,131.72776945755996,119.62925138425464,124.65045961855994,129.59738021961323,1.0,18.49538457047343
eyelid_1p00mm_indent_0p28mm,1.0,outer,2.25,2.4,2.325,94,119.29938149828831,107.31819736128945,112.2220716592883,116.94087414798138,1.0,18.49538457047343
eyelid_1p00mm_indent_0p28mm,1.0,outer,2.4,2.55,2.4749999999999996,96,107.48396208239993,94.7556209546367,100.4066522433999,104.6995697075067,1.0,18.49538457047343
eyelid_1p00mm_indent_0p28mm,1.0,outer,2.55,2.6999999999999997,2.625,97,95.79838802927334,83.91417443735449,88.72107819027332,92.6238014953512,1.0,18.49538457047343
eyelid_1p00mm_indent_0p28mm,1.0,outer,2.6999999999999997,2.85,2.775,96,84.99883311996335,72.29276966605832,77.92152328096333,81.43920513459669,1.0,18.49538457047343
eyelid_1p00mm_indent_0p28mm,1.0,outer,2.85,3.0,2.925,106,74.56142161148333,63.2272651727583,67.48411177248332,71.39028213884333,1.0,18.49538457047343
eyelid_1p00mm_indent_0p28mm,1.0,outer,3.0,3.15,3.075,113,64.15312773545004,53.964067854304695,57.07581789645002,61.167325862628005,1.0,18.49538457047343
eyelid_1p00mm_indent_0p28mm,1.0,outer,3.15,3.3,3.2249999999999996,102,55.41984976407832,45.41260194973461,48.3425399250783,51.61679254154703,1.0,18.49538457047343
eyelid_1p00mm_indent_0p28mm,1.0,outer,3.3,3.4499999999999997,3.375,101,48.422368915336655,39.03957317139998,41.34505907633663,43.358148897919996,1.0,18.49538457047343
eyelid_1p00mm_indent_0p28mm,1.0,outer,3.4499999999999997,3.5999999999999996,3.5249999999999995,127,41.12036569079661,30.138990485393954,34.04305585179659,35.70759602485664,1.0,18.49538457047343
eyelid_1p00mm_indent_0p28mm,1.0,outer,3.5999999999999996,3.75,3.675,121,33.701962593560005,22.916126121586615,26.624652754559982,28.827021983573317,1.0,18.49538457047343
eyelid_1p00mm_indent_0p28mm,1.0,outer,3.75,3.9,3.825,131,26.807405905210352,17.200538687156325,19.73009606621033,22.3592067699633,0.7022900763358778,18.49538457047343
eyelid_1p00mm_indent_0p28mm,1.0,outer,3.9,4.05,3.9749999999999996,123,20.35209035469028,12.001112604014443,13.274780515690255,16.037614709499376,0.0,18.49538457047343
eyelid_1p00mm_indent_0p28mm,1.0,outer,4.05,4.2,4.125,114,15.814638466270498,7.533860832757232,8.737328627270475,10.920113933731924,0.0,18.49538457047343
eyelid_1p00mm_indent_0p28mm,1.0,outer,4.2,4.35,4.275,133,11.766142779334656,3.4893474414576877,4.688832940334631,6.410467922111197,0.0,18.49538457047343
eyelid_1p00mm_indent_0p28mm,1.0,outer,4.35,4.5,4.425,120,8.38348016282384,0.1653742746629667,1.3061703238238147,2.513328868831663,0.0,18.49538457047343
eyelid_1p00mm_indent_0p28mm,1.0,outer,4.5,4.6499999999999995,4.574999999999999,126,5.65400011686001,0.0,0.0,0.0,0.0,18.49538457047343
eyelid_1p00mm_indent_0p28mm,1.0,outer,4.6499999999999995,4.8,4.725,142,3.1081791424316405,0.0,0.0,0.0,0.0,18.49538457047343
