bootstrap_id,c_n_per_mm_per_mm_power,exponent_m_for_k_proportional_h_to_m,n_for_k_proportional_h_to_minus_n
138,0.8293455836115298,0.9962346818849023,-0.9962346818849023
139,0.8306466045538741,0.9924439113475034,-0.9924439113475034
140,0.8345726312973926,0.9843281837292399,-0.9843281837292399
141,0.8313666656537152,0.9915486927676906,-0.9915486927676906
142,0.8338770627568886,0.9861301402644629,-0.9861301402644629
143,0.8315002719817385,0.9944494411439612,-0.9944494411439612
144,0.8316447538676027,0.9910297543797988,-0.9910297543797988
145,0.8323619792468704,0.9888067776678628,-0.9888067776678628
146,0.8314379389346489,0.9905434156557325,-0.9905434156557325
147,0.8309948835167178,0.9950123403692301,-0.9950123403692301
148,0.8317857755710653,0.9896840450430233,-0.9896840450430233
149,0.8316829605635911,0.9923011025393513,-0.9923011025393513
150,0.8328122032111449,0.9909102008984879,-0.9909102008984879
151,0.8315089283061294,0.9962501431460615,-0.9962501431460615
152,0.8312717142593367,0.9936536604354562,-0.9936536604354562
153,0.8376220844756743,0.9791686797709813,-0.9791686797709813
154,0.8325843336338916,0.988149947563805,-0.988149947563805
155,0.830447731001523,0.9941200465263974,-0.9941200465263974
156,0.8315799673258798,0.9913207093420275,-0.9913207093420275
157,0.831482984521842,0.9906479172948064,-0.9906479172948064
158,0.8325258680373311,0.9900360872838246,-0.9900360872838246
159,0.8326710658250167,0.9887939298345438,-0.9887939298345438
160,0.8304288429842073,0.9980668628622945,-0.9980668628622945
161,0.8315099675707254,0.9942567339296695,-0.9942567339296695
162,0.8328152737745967,0.9887399464001618,-0.9887399464001618
163,0.8337657070958779,0.9868704444982739,-0.9868704444982739
164,0.8308426364589625,0.9924174778089895,-0.9924174778089895
165,0.8315543923014276,0.9939570246147138,-0.9939570246147138
166,0.828106807302742,0.995827917883056,-0.995827917883056
167,0.832628075387156,0.990035647817922,-0.990035647817922
168,0.8313392556940689,0.9919802817288075,-0.9919802817288075
169,0.8331149273609426,0.9891880016445265,-0.9891880016445265
170,0.8306466045538743,0.9924439113475025,-0.9924439113475025
171,0.8325052772835755,0.9896267446467093,-0.9896267446467093
172,0.8293853693760782,0.9971699916989406,-0.9971699916989406
173,0.8306543723947002,0.9938435957498646,-0.9938435957498646
174,0.8312402471709384,0.9925831877671063,-0.9925831877671063
175,0.8325478491240714,0.988954374749323,-0.988954374749323
176,0.8315359937097871,0.9916111766736849,-0.9916111766736849
177,0.8323968351511235,0.9893321207232155,-0.9893321207232155
178,0.8328090887631806,0.992111939482544,-0.992111939482544
179,0.8291572803887959,1.0041897219646327,-1.0041897219646327
180,0.8361739493978302,0.9812721775545606,-0.9812721775545606
181,0.8311741294068871,0.9935118955208546,-0.9935118955208546
182,0.8318063524785735,0.991434229084815,-0.991434229084815
183,0.8313666656537153,0.9915486927676905,-0.9915486927676905
184,0.8340088356884432,0.9875217250851359,-0.9875217250851359
185,0.8316184228136982,0.9903705761771806,-0.9903705761771806
186,0.8315093822846923,0.9922414261520692,-0.9922414261520692
187,0.8302015363026259,0.9988142437269817,-0.9988142437269817
188,0.8314934928628358,0.9965010010881039,-0.9965010010881039
189,0.8325284710445344,0.9897562021472543,-0.9897562021472543
190,0.8310253312344374,0.9916880865932545,-0.9916880865932545
191,0.8311306053413308,0.9898180703693283,-0.9898180703693283
192,0.8338515200968257,0.9878331484262168,-0.9878331484262168
193,0.8327342845667376,0.9919891011125008,-0.9919891011125008
194,0.8325442182308286,0.9878843200643426,-0.9878843200643426
195,0.8314695554396365,0.9946918968221821,-0.9946918968221821
196,0.8311265632644873,0.992879615811741,-0.992879615811741
197,0.8298783934448365,0.9956504089025221,-0.9956504089025221
198,0.8316234014908815,0.993204490119033,-0.993204490119033
199,0.8304580833387629,0.9941819478429095,-0.9941819478429095
200,0.8347154734522138,0.9860289559561152,-0.9860289559561152
201,0.8337795420972134,0.9858674978988708,-0.9858674978988708
202,0.8310435122689137,0.9895162233895234,-0.9895162233895234
203,0.8315823598527468,0.9909307239207997,-0.9909307239207997
204,0.8314733576610787,0.9927146952356153,-0.9927146952356153
205,0.8314733576610788,0.9927146952356152,-0.9927146952356152
206,0.831400754588111,0.9935226648394064,-0.9935226648394064
207,0.8310359256613996,0.9915458033960779,-0.9915458033960779
208,0.8309163158993974,0.9936825376787073,-0.9936825376787073
