source_id,cycle,age_year,strain,stress_mpa,tangent_modulus_mpa,coefficient_a_mpa,coefficient_b
AGE_INFLATION_2010,first_loading,70,0.022,0.010704053,1.1360612,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.0225,0.011285375,1.1896358,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.023,0.01189411,1.2457369,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.0235,0.012531552,1.3044835,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.024,0.013199055,1.3660006,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.0245,0.013898036,1.4304187,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.025,0.01462998,1.4978747,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.0255,0.015396441,1.5685117,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.026,0.016199047,1.6424799,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.0265,0.017039502,1.7199362,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.027,0.017919592,1.8010453,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.0275,0.018841185,1.8859793,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.028,0.019806239,1.9749186,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.0285,0.020816803,2.0680522,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.029,0.021875023,2.1655778,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.0295,0.022983147,2.2677025,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.03,0.024143528,2.3746432,0.001623,92.16
AGE_INFLATION_2010,first_loading,80,0,0,0.16897672,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.0005,8.648962e-05,0.17704447,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.001,0.00017710867,0.18549742,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.0015,0.0002720543,0.19435394,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.002,0.00037153308,0.20363333,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.0025,0.00047576146,0.21335575,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.003,0.00058496619,0.22354237,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.0035,0.00069938488,0.23421534,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.004,0.00081926645,0.24539789,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.0045,0.00094487175,0.25711436,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.005,0.001076474,0.26939022,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.0055,0.0012143596,0.28225219,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.006,0.0013588286,0.29572825,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.0065,0.0015101951,0.30984772,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.007,0.0016687886,0.32464132,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.0075,0.0018349542,0.34014124,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.008,0.0020090532,0.3563812,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.0085,0.0021914646,0.37339654,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.009,0.0023825851,0.39122426,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.0095,0.0025828307,0.40990317,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.01,0.0027926369,0.42947389,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.0105,0.0030124603,0.44997902,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.011,0.0032427791,0.47146315,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.0115,0.0034840944,0.49397305,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.012,0.0037369313,0.51755767,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.0125,0.0040018397,0.54226833,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.013,0.0042793962,0.5681588,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.0135,0.0045702045,0.5952854,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.014,0.0048748975,0.62370715,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.0145,0.0051941378,0.6534859,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.015,0.0055286203,0.68468642,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.0155,0.0058790725,0.71737661,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.016,0.006246257,0.75162757,0.0018115,93.28
AGE_INFLATION_2010,first_loading,80,0.0165,0.0066309726,0.78751385,0.0018115,93.28
